A,
18,0,47,70,6,0,0,0,DD,
FFFFFFD2,0,0,FF,FF,0,0,0,0,
40,0,49,3D,43,0,0,B,21,
70,0,0,0,0,0,4,0,0,
18,0,46,70,8,0,0,0,DE,
FFFFFFD1,85,11,0,0,0,0,0,0,
40,0,4A,3D,43,0,0,B,21,
42,85,A6,0,0,0,0,0,0,
52,F0,C4,0,0,0,2,8,1,
18,0,47,70,A,0,0,0,E1,
FFFFFFD0,B4,FF,0,0,0,0,1,0,
56,0,80,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
42,85,A6,0,0,0,0,0,0,
18,0,46,70,C,0,0,0,E2,
40,0,4C,3D,43,0,0,B,21,
42,85,A6,0,0,0,0,0,0,
61,0,29,0,D7,0,C0,8F,2A,
52,F0,D4,0,0,0,2,8,1,
18,0,47,70,E,0,0,0,E5,
FFFFFFD0,B4,FF,0,0,0,0,1,FF,
FFFFFFD4,0,0,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
FFFFFF82,CA,F0,8A,A4,B2,1,20,0,
18,0,46,70,0,0,0,0,D6,
40,0,4E,3D,43,0,0,B,21,
70,0,0,0,0,0,5,0,0,
52,F0,E4,0,0,0,2,8,1,
18,0,47,70,2,0,0,0,D9,
FFFFFFD0,B4,FF,0,0,0,0,1,FF,
FFFFFFD4,0,0,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
18,0,46,70,4,0,0,0,DA,
41,85,26,12,28,3E,83,A7,0,
40,0,40,3D,43,0,0,B,21,
42,85,A6,0,0,0,0,0,0,
52,F0,F4,0,0,0,2,8,1,
56,0,80,0,0,0,0,0,0,
18,0,46,70,6,0,0,0,DC,
FFFFFFD4,0,0,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
61,0,29,0,D7,1,D0,7C,2A,
42,40,2,0,0,0,0,0,0,
18,0,47,70,8,0,0,0,DF,
40,0,42,3B,43,0,0,B,21,
FFFFFFC1,1,0,0,0,0,0,0,0,
56,0,80,0,0,0,0,0,0,
18,0,46,70,A,0,0,0,E0,
FFFFFFD1,0,0,0,0,
FFFFFFD4,0,0,0,0,0,0,0,0,
70,0,0,0,0,0,6,0,0,
FFFFFF82,CA,0,8A,A4,B2,1,20,0,
18,0,46,70,C,0,0,0,E2,
41,85,26,12,28,3E,83,A7,0,
40,0,44,3E,43,0,0,B,21,
42,85,A6,0,0,0,0,0,0,
56,0,80,0,0,0,0,0,0,
18,0,47,70,E,0,0,0,E5,
72,0,F0,0,0,0,0,0,0,
42,85,A6,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
18,0,46,70,0,0,0,0,D6,
FFFFFFD1,87,11,0,0,0,0,0,0,
40,0,46,3E,43,0,0,B,21,
61,0,29,0,D7,2,70,88,2A,
52,F0,24,0,0,0,2,8,1,
18,0,47,70,2,0,0,0,D9,
FFFFFFD0,B4,FF,0,0,0,0,1,0,
56,0,80,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
18,0,46,70,4,0,0,0,DA,
41,85,26,13,28,3E,83,A7,0,
40,0,48,3D,43,0,0,B,21,
41,85,26,13,28,3E,83,A7,0,
52,F0,34,0,0,0,2,8,1,
56,0,80,0,0,0,0,0,0,
18,0,46,70,6,0,0,0,DC,
FFFFFFD4,0,0,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
FFFFFF82,CA,10,8A,A4,B2,1,20,0,
18,0,46,70,8,0,0,0,DE,
42,85,A6,0,0,0,0,0,0,
40,0,4A,3D,43,0,0,B,21,
42,85,A6,0,0,0,0,0,0,
52,F0,44,0,0,0,2,8,1,
18,0,46,70,A,0,0,0,E0,
FFFFFFD3,0,6,C0,F,0,0,B5,
41,85,26,13,28,3E,83,A7,0,
61,0,29,0,D7,3,20,7F,2A,
40,42,2,0,0,0,0,0,0,
18,0,46,70,C,0,0,0,E2,
40,0,4C,40,43,0,0,B,21,
42,85,A6,0,0,0,0,0,0,
52,F0,54,0,0,0,2,8,1,
56,0,80,0,0,0,0,0,0,
18,0,46,70,E,0,0,0,E4,
FFFFFFD4,0,0,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
70,0,0,0,0,0,8,0,0,
18,0,46,70,0,0,0,0,D6,
41,85,26,13,28,3E,83,A7,0,
40,0,4E,40,43,0,0,B,21,
42,85,A6,0,0,0,0,0,0,
56,0,80,0,0,0,0,0,0,
18,0,46,70,2,0,0,0,D8,
FFFFFFD0,B4,FF,0,0,0,0,1,0,
72,0,0,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
18,0,46,70,4,0,0,0,DA,
FFFFFF82,CA,20,8A,A4,B2,1,20,0,
40,0,40,3D,43,0,0,B,21,
60,5F,1,81,82,42,0,E1,0,
52,F0,74,0,0,0,2,8,1,
18,0,47,70,6,0,0,0,DD,
FFFFFFD0,B4,FF,0,0,0,0,1,0,
56,0,80,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
18,0,46,70,8,0,0,0,DE,
41,85,26,12,28,3E,83,A7,0,
FFFFFFD1,85,11,0,0,0,0,0,0,
41,85,26,12,28,3E,83,A7,0,
52,F0,84,0,0,0,2,8,1,
70,0,0,0,0,0,9,0,0,
18,0,46,70,A,0,0,0,E0,
FFFFFFD4,0,0,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
3B,0,0,E,5,0,0,51,29,
18,0,46,70,C,0,0,0,E2,
40,0,42,3D,43,0,0,B,21,
40,0,44,40,43,0,0,B,21,
42,85,A6,0,0,0,0,0,0,
42,40,2,0,0,0,0,0,0,
18,0,46,70,E,0,0,0,E4,
FFFFFFD0,B4,FF,0,0,0,0,1,FF,
FFFFFFD4,0,0,0,0,0,0,0,0,
61,0,29,0,D7,5,70,86,2A,
18,0,46,70,0,0,0,0,D6,
FFFFFF82,CA,30,8A,A4,B2,1,20,0,
40,0,46,3E,43,0,0,B,21,
42,85,A6,0,0,0,0,0,0,
52,F0,A4,0,0,0,2,8,1,
18,0,46,70,2,0,0,0,D8,
FFFFFFD0,B4,FF,0,0,0,0,1,FF,
56,0,80,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
70,0,0,0,0,0,A,0,0,
18,0,46,70,4,0,0,0,DA,
41,85,26,13,28,3E,83,A7,0,
40,0,48,3E,43,0,0,B,21,
42,85,A6,0,0,0,0,0,0,
56,0,80,0,0,0,0,0,0,
18,0,47,70,6,0,0,0,DD,
FFFFFFD3,0,6,C0,F,0,0,BC,
41,85,26,12,28,3E,83,A7,0,
44,C0,0,52,18,8,A4,A0,0,
18,0,46,70,8,0,0,0,DE,
41,85,26,12,28,3E,83,A7,0,
40,0,4A,41,43,0,0,B,21,
61,0,29,0,D7,6,10,7D,2A,
56,0,80,0,0,0,0,0,0,
18,0,46,70,A,0,0,0,E0,
FFFFFFD1,0,0,0,0,
FFFFFFD4,0,0,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
FFFFFF82,CA,40,8A,A4,B2,1,20,0,
18,0,46,70,C,0,0,0,E2,
40,0,4C,41,43,0,0,B,21,
42,85,A6,0,0,0,0,0,0,
52,F0,D4,0,0,0,2,8,1,
56,0,80,0,0,0,0,0,0,
18,0,46,70,E,0,0,0,E4,
FFFFFFD4,0,0,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
41,85,26,13,28,3E,83,A7,0,
18,0,46,70,0,0,0,0,D6,
FFFFFFD1,85,11,0,0,0,0,0,0,
40,0,4E,40,43,0,0,B,21,
42,85,A6,0,0,0,0,0,0,
40,42,2,0,0,0,0,0,0,
18,0,46,70,2,0,0,0,D8,
FFFFFFD2,0,0,FF,FF,0,0,0,0,
40,0,4F,40,43,0,0,B,21,
61,0,29,0,D7,7,10,83,2A,
18,0,47,70,4,0,0,0,DB,
41,85,26,12,28,3E,83,A7,0,
40,0,40,40,43,0,0,B,21,
42,85,A6,0,0,0,0,0,0,
56,0,80,0,0,0,0,0,0,
18,0,46,70,6,0,0,0,DC,
FFFFFFD0,B4,FF,0,0,0,0,1,FF,
FFFFFFD4,0,0,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
FFFFFF82,CA,50,8A,A4,B2,1,20,0,
18,0,46,70,8,0,0,0,DE,
40,0,42,43,43,0,0,B,21,
42,86,A6,0,0,0,0,0,0,
52,F0,4,0,0,0,2,8,1,
18,0,47,70,A,0,0,0,E1,
FFFFFFD0,B4,FF,0,0,0,0,1,FF,
72,0,20,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
18,0,46,70,C,0,0,0,E2,
41,85,26,12,28,3E,83,A7,0,
40,0,44,43,43,0,0,B,21,
42,86,A6,0,0,0,0,0,0,
61,0,29,0,D7,8,70,8E,2A,
56,0,80,0,0,0,0,0,0,
18,0,46,70,E,0,0,0,E4,
FFFFFFD3,0,6,C0,F,0,0,C2,
41,86,26,12,28,3F,83,A7,0,
44,C0,0,52,18,8,A4,A0,0,
18,0,46,70,0,0,0,0,D6,
41,86,26,12,28,3F,83,A7,0,
40,0,46,44,43,0,0,B,21,
42,86,A6,0,0,0,0,0,0,
56,0,80,0,0,0,0,0,0,
18,0,46,70,2,0,0,0,D8,
FFFFFFD0,B4,FF,0,0,0,0,1,FF,
FFFFFFD4,0,0,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
FFFFFF82,CA,60,8A,A4,B2,1,20,0,
18,0,46,70,4,0,0,0,DA,
40,0,48,44,43,0,0,B,21,
42,86,A6,0,0,0,0,0,0,
52,F0,34,0,0,0,2,8,1,
18,0,46,70,6,0,0,0,DC,
FFFFFFD0,B4,FF,0,0,0,0,1,FF,
FFFFFFD4,0,0,0,0,0,0,0,0,
61,0,29,0,D7,9,B0,7C,2A,
18,0,46,70,8,0,0,0,DE,
FFFFFFD1,85,11,0,0,0,0,0,0,
40,0,4A,44,43,0,0,B,21,
42,86,A6,0,0,0,0,0,0,
52,F0,44,0,0,0,2,8,1,
18,0,46,70,A,0,0,0,E0,
FFFFFFD0,B4,FF,0,0,0,0,1,FF,
56,0,80,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
18,0,46,70,C,0,0,0,E2,
70,0,0,0,0,0,E,0,0,
41,86,26,12,28,3F,83,A7,0,
40,0,4C,43,43,0,0,B,21,
42,86,A6,0,0,0,0,0,0,
56,0,80,0,0,0,0,0,0,
18,0,46,70,E,0,0,0,E4,
FFFFFFD2,0,0,FF,FF,0,0,0,0,
40,0,4D,43,43,0,0,B,21,
44,C0,0,52,18,8,A4,A0,0,
FFFFFF82,CA,70,8A,A4,B2,1,20,0,
18,0,47,70,0,0,0,0,D7,
40,0,4E,43,43,0,0,B,21,
61,0,29,0,D7,A,30,88,2A,
52,F0,64,0,0,0,2,8,1,
18,0,46,70,2,0,0,0,D8,
FFFFFFD2,0,0,FF,FF,0,0,0,0,
40,0,4F,45,43,0,0,B,21,
44,C0,0,52,18,8,A4,A0,0,
75,0,0,0,0,0,0,0,10,
18,0,46,70,4,0,0,0,DA,
40,0,40,45,43,0,0,B,21,
42,86,A6,0,0,0,0,0,0,
52,F0,74,0,0,0,2,8,1,
56,0,80,0,0,0,0,0,0,
70,0,0,0,0,0,F,0,0,
FFFFFFD4,0,0,0,0,0,0,0,0,
41,86,26,11,28,40,83,A7,0,
40,42,2,0,0,0,0,0,0,
18,0,47,70,8,0,0,0,DF,
FFFFFFE2,A2,80,0,60,60,60,54,FE,
40,0,42,45,43,0,0,B,21,
42,86,A6,0,0,0,0,0,0,
56,0,80,0,0,0,0,0,0,
18,0,46,70,A,0,0,0,E0,
FFFFFFD1,0,0,0,0,
FFFFFFD4,0,0,0,0,0,0,0,0,
61,0,29,0,D7,B,90,7A,2A,
FFFFFF82,CA,80,8A,A4,B2,1,20,0,
18,0,46,70,C,0,0,0,E2,
40,0,44,45,43,0,0,B,21,
42,86,A6,0,0,0,0,0,0,
52,F0,94,0,0,0,2,8,1,
56,0,80,0,0,0,0,0,0,
18,0,47,70,E,0,0,0,E5,
FFFFFFD4,0,0,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
41,86,26,11,28,40,83,A7,0,
18,0,46,70,0,0,0,0,D6,
70,0,0,0,0,0,0,0,0,
40,0,46,45,43,0,0,B,21,
42,86,A6,0,0,0,0,0,0,
52,F0,A4,0,0,0,2,8,1,
18,0,46,70,2,0,0,0,D8,
FFFFFFD0,B4,FF,0,0,0,0,1,FF,
72,0,40,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
18,0,46,70,4,0,0,0,DA,
FFFFFFD1,85,11,0,0,0,0,0,0,
40,0,48,44,43,0,0,B,21,
42,86,A6,0,0,0,0,0,0,
52,F0,B4,0,0,0,2,8,1,
56,0,80,0,0,0,0,0,0,
18,0,46,70,6,0,0,0,DC,
FFFFFFD4,0,0,0,0,0,0,0,0,
42,86,A6,0,0,0,0,0,0,
44,C0,0,52,18,8,A4,A0,0,
