19:41:26.769929,0,0,0,13,
19:41:27.321991,40,0,45,42,43,0,0,C,21,
19:41:27.322712,40,0,46,42,4BB,2,20,0,
19:41:27.323389,41,8þD0,47,FF,0,0,E2,7,0,0,
19:41:27.324804,E1,A1,80,0,0,0,70,0,0,
19:41:27.325429,40,0,45,3F,43,0,0,C,21,
19:41:27.326105,42,85,A6,0,0,0,0,0,0,
19:41:27.326728,82,CA,30,8A,9C,BB,2,20,0,
19:41:27.327479,41,8þCAN BUS Shield init ok!
19:41:28.414455,18,0,B7,70,4,0,0,0,4B,
19:41:28.415838,60,7C,1,85,83,4B,0,E1,0,
19:41:28.418312,61,0,29,0,D7,6,B0,7F,27,
19:41:28.419719,44,C0,0,52,19,8,A4,A0,0,
19:41:28.422516,D0,45,FF,0,0,E2,7,0,0,
19:41:28.423796,D4,0,0,0,0,0,0,0,0,
19:41:28.426332,56,0,80,0,0,0,0,0,0,
19:41:28.427586,40,12,CB,4F,3,11,11,10,20,
19:41:28.430427,44,C0,0,52,19,8,A4,A0,0,
19:41:28.431806,D1,0,0,0,0,
19:41:28.433975,52,F0,A4,0,0,0,2,0,3,
19:41:28.435230,56,0,80,0,0,0,0,0,0,
19:41:28.437856,40,14,CC,50,3,13,13,10,20,
19:41:28.439391,42,43,A8,5,0,0,0,0,0,
19:41:28.441975,D0,45,FF,0,0,E2,7,0,0,
19:41:28.443258,D2,0,0,FF,FF,0,0,0,0,
19:41:28.445949,74,8,0,0,0,0,0,0,0,
19:41:28.447247,40,15,CD,50,3,14,14,10,20,
19:41:28.449940,82,CA,F0,8A,9C,BB,2,20,0,
19:41:28.451367,72,0,50,0,0,0,0,0,0,
19:41:28.455230,52,F0,B4,0,0,0,2,0,3,
19:41:28.456475,41,32,28,43,28,4F,3,A1,0,
19:41:28.459327,40,15,CE,50,3,15,15,10,20,
19:41:28.460803,42,4F,A8,5,0,0,0,0,0,
19:41:28.463454,56,0,80,0,0,0,0,0,0,
19:41:28.464652,D4,0,0,0,0,0,0,0,0,
19:41:28.467228,70,1A,0,0,0,0,E,0,0,
19:41:28.468448,41,A0,28,4F,28,50,3,A1,0,
19:41:28.471231,61,0,29,0,D7,7,10,83,27,
19:41:28.472609,41,81,28,4F,28,50,3,A1,0,
19:41:28.475449,52,F0,C4,0,0,0,2,0,3,
19:41:28.476714,56,0,80,0,0,0,0,0,0,
19:41:28.479381,18,0,B7,70,2,0,0,0,49,
19:41:28.480716,40,16,C0,50,3,16,16,11,20,
19:41:28.483499,D0,45,FF,0,0,E2,7,0,0,
19:41:28.484869,3B,0,0,E,6,0,0,3A,60,
19:41:28.487637,40,17,C1,50,3,16,16,12,20,
19:41:28.489156,44,C0,0,52,19,8,A4,A0,0,
19:41:28.491694,D1,0,0,0,0,
19:41:28.492490,52,F0,D4,0,0,0,2,0,3,
19:41:28.495137,56,0,80,0,0,0,0,0,0,
19:41:28.496334,40,17,C2,50,3,17,17,12,20,
19:41:28.499253,42,5C,A8,7,0,0,0,0,0,
19:41:28.500523,18,0,B7,70,6,0,0,0,4D,
19:41:28.503139,D0,45,FF,0,0,E2,7,0,0,
19:41:28.504427,D4,0,0,0,0,0,0,0,0,
19:41:28.505573,82,CA,0,8A,9C,BB,2,20,0,
19:41:28.509472,18,0,B7,70,8,0,0,0,4F,
19:41:28.512409,44,C0,0,52,19,8,A4,A0,0,
19:41:28.513819,52,F0,E4,0,0,0,2,0,3,
19:41:28.516398,42,40,2,0,0,0,0,0,0,
19:41:28.517740,56,0,80,0,0,0,0,0,0,
19:41:28.518629,42,6C,A8,8,0,0,0,0,0,
19:41:28.520647,61,0,29,0,D7,8,D0,79,27,
19:41:28.521316,D0,45,FF,0,0,E2,7,0,0,
19:41:28.524665,D4,0,0,0,0,0,0,0,0,
19:41:28.525217,40,18,C5,59,3,18,18,13,20,
19:41:28.528696,44,C0,0,52,19,8,A4,A0,0,
19:41:28.532191,D1,B6,11,0,0,0,0,0,0,
19:41:28.532803,52,F0,F4,0,0,0,2,0,3,
19:41:28.533406,41,EF,28,5C,28,50,3,A1,0,
19:41:28.536763,40,19,C6,59,3,18,18,13,20,
19:41:28.540317,18,0,B8,70,E,0,0,0,56,
19:41:28.540942,56,0,80,0,0,0,0,0,0,
19:41:28.544314,D4,0,0,0,0,0,0,0,0,
