,
41,86,26,3D,28,40,83,A7,0,
52,F0,C4,0,0,0,2,0,3,
40,0,41,44,43,0,0,C,21,
18,0,7F,70,C,0,0,0,1B,
40,0,42,42,43,0,0,C,2,0,0,
41,86,26,3D,28,40,83,A7,0,
52,F0,C4,0,0,0,2,0,3,
40,0,41,44,43,0,0,C,21,
18,0,7F,70,C,0,0,0,1B,
40,0,42,42,43,0,0,C,2CAN BUS Shield init ok!
18,0,7F,70,4,0,0,0,13,
70,0,0,0,0,0,3,0,0,
18,0,7F,70,6,0,0,0,15,
74,8,0,0,0,0,0,0,0,
52,F0,F4,0,0,0,2,0,3,
41,85,26,3C,28,42,83,A7,0,
44,C0,0,52,19,8,A4,A0,0,
56,0,80,0,0,0,0,0,0,
18,0,7F,70,8,0,0,0,17,
40,0,47,42,43,0,0,C,21,
40,0,48,42,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
41,85,26,3D,28,42,83,A7,0,
18,0,7F,70,A,0,0,0,19,
52,F0,4,0,0,0,2,0,3,
D3,0,6,C0,F,70,0,B5,
72,0,90,0,0,0,0,0,0,
56,0,80,0,0,0,0,0,0,
18,0,7F,70,C,0,0,0,1B,
3B,0,0,E,6,0,0,37,F4,
42,85,A6,0,0,0,0,0,0,
40,0,4A,42,43,0,0,C,21,
18,0,7F,70,E,0,0,0,1D,
56,0,80,0,0,0,0,0,0,
52,F0,14,0,0,0,2,0,3,
D1,0,0,0,0,
44,C0,0,52,19,8,A4,A0,0,
40,0,4B,41,43,0,0,C,21,
70,0,0,0,0,0,4,0,0,
82,CA,60,8A,9C,BC,0,20,0,
40,0,4C,41,43,0,0,C,21,
61,0,29,0,D7,0,0,78,28,
C8,9,0,0,0,0,0,0,0,
18,0,7F,70,2,0,0,0,11,
56,0,80,0,0,0,0,0,0,
40,0,4D,41,43,0,0,C,21,
44,C0,0,52,19,8,A4,A0,0,
18,0,7F,70,0,0,0,0,F,
18,0,7F,70,4,0,0,0,13,
40,42,2,0,0,0,0,0,0,
41,85,26,3D,28,42,83,A7,0,
D1,BC,11,0,0,0,0,0,0,
40,0,4E,43,43,0,0,C,21,
18,0,7F,70,6,0,0,0,15,
52,F0,34,0,0,0,2,0,3,
D0,7D,FF,0,0,E2,7,0,0,
44,C0,0,52,19,8,A4,A0,0,
56,0,80,0,0,0,0,0,0,
18,0,7F,70,8,0,0,0,17,
40,0,40,43,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
40,0,4F,43,43,0,0,C,21,
70,0,0,0,0,0,5,0,0,
18,0,7F,70,A,0,0,0,19,
52,F0,44,0,0,0,2,0,3,
D1,0,0,0,0,
61,0,29,0,D7,1,0,7F,28,
56,0,80,0,0,0,0,0,0,
18,0,7F,70,C,0,0,0,1B,
82,CA,70,8A,9C,BC,0,20,0,
40,0,42,40,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
41,85,26,3C,28,42,83,A7,0,
18,0,7F,70,E,0,0,0,1D,
56,0,80,0,0,0,0,0,0,
D2,0,0,FF,FF,0,0,0,0,
72,0,A0,0,0,0,0,0,0,
DD,1E,0,0,0,0,0,0,0,
18,0,7F,70,0,0,0,0,F,
52,F0,54,0,0,0,2,0,3,
40,0,44,40,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
41,85,26,3B,28,42,83,A7,0,
18,0,7F,70,2,0,0,0,11,
52,F0,64,0,0,0,2,0,3,
D1,0,0,0,0,
44,C0,0,52,19,8,A4,A0,0,
56,0,80,0,0,0,0,0,0,
70,0,0,0,0,0,6,0,0,
18,0,7F,70,4,0,0,0,13,
40,0,46,3F,43,0,0,C,21,
61,0,29,0,D7,2,80,7B,28,
41,85,26,3B,28,42,83,A7,0,
18,0,7F,70,6,0,0,0,15,
56,0,80,0,0,0,0,0,0,
41,85,26,3B,28,42,83,A7,0,
44,C0,0,52,19,8,A4,A0,0,
52,F0,74,0,0,0,2,0,3,
18,0,7F,70,8,0,0,0,17,
40,0,48,3F,43,0,0,C,21,
82,CA,80,8A,9C,BC,0,20,0,
42,40,2,0,0,0,0,0,0,
18,0,7F,70,A,0,0,0,19,
52,F0,84,0,0,0,2,0,3,
40,0,49,3F,43,0,0,C,21,
D3,0,6,C0,F,70,0,BD,
56,0,80,0,0,0,0,0,0,
41,85,26,3B,28,42,83,A7,0,
18,0,7F,70,C,0,0,0,1B,
40,0,4A,3F,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
D1,BC,11,0,0,0,0,0,0,
18,0,7F,70,E,0,0,0,1D,
70,0,0,0,0,0,7,0,0,
52,F0,94,0,0,0,2,0,3,
D3,0,6,C0,F,70,0,BE,
61,0,29,0,D7,3,40,84,28,
56,0,80,0,0,0,0,0,0,
18,0,7F,70,0,0,0,0,F,
40,0,4C,3F,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
41,85,26,3B,28,41,83,A7,0,
18,0,7F,70,2,0,0,0,11,
56,0,80,0,0,0,0,0,0,
52,F0,A4,0,0,0,2,0,3,
D4,0,0,0,0,0,0,0,0,
72,0,B0,0,0,0,0,0,0,
40,0,4D,3E,43,0,0,C,21,
18,0,7F,70,4,0,0,0,13,
40,0,4E,3E,43,0,0,C,21,
82,CA,90,8A,9C,BC,0,20,0,
41,85,26,3A,28,41,83,A7,0,
18,0,7F,70,6,0,0,0,15,
52,F0,B4,0,0,0,2,0,3,
40,0,4F,3E,43,0,0,C,21,
44,C0,0,52,19,8,A4,A0,0,
56,0,80,0,0,0,0,0,0,
18,0,7F,70,8,0,0,0,17,
70,0,0,0,0,0,8,0,0,
41,85,26,3A,28,41,83,A7,0,
61,0,29,0,D7,4,30,89,28,
D0,7D,FF,0,0,E2,7,FF,0,
18,0,7F,70,A,0,0,0,19,
40,42,2,0,0,0,0,0,0,
D1,0,0,0,0,
44,C0,0,52,19,8,A4,A0,0,
52,F0,C4,0,0,0,2,0,3,
18,0,7F,70,C,0,0,0,1B,
56,0,80,0,0,0,0,0,0,
40,0,42,3C,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
41,85,26,3B,28,41,83,A7,0,
18,0,7F,70,E,0,0,0,1D,
56,0,80,0,0,0,0,0,0,
41,85,26,3B,28,41,83,A7,0,
44,C0,0,52,19,8,A4,A0,0,
52,F0,D4,0,0,0,2,0,3,
18,0,7F,70,0,0,0,0,F,
40,0,44,40,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
82,CA,A0,8A,9C,BC,0,20,0,
18,0,7F,70,2,0,0,0,11,
70,0,0,0,0,0,9,0,0,
56,0,80,0,0,0,0,0,0,
D2,0,0,FF,FF,0,0,0,0,
61,0,29,0,D7,5,E0,7C,28,
52,F0,E4,0,0,0,2,0,3,
18,0,7F,70,4,0,0,0,13,
E1,A1,80,0,0,0,70,0,0,
42,85,A6,0,0,0,0,0,0,
D1,B9,11,0,0,0,0,0,0,
40,0,46,40,43,0,0,C,21,
18,0,7F,70,6,0,0,0,15,
52,F0,F4,0,0,0,2,0,3,
D3,0,6,C0,F,70,0,C4,
72,0,C0,0,0,0,0,0,0,
56,0,80,0,0,0,0,0,0,
18,0,7F,70,8,0,0,0,17,
40,0,48,41,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
40,0,47,40,43,0,0,C,21,
18,0,7F,70,A,0,0,0,19,
56,0,80,0,0,0,0,0,0,
52,F0,4,0,0,0,2,0,3,
D1,0,0,0,0,
44,C0,0,52,19,8,A4,A0,0,
40,0,49,41,43,0,0,C,21,
18,0,7F,70,C,0,0,0,1B,
82,CA,B0,8A,9C,BC,0,20,0,
40,0,4A,41,43,0,0,C,21,
61,0,29,0,D7,6,70,86,28,
70,0,0,0,0,0,A,0,0,
18,0,7F,70,E,0,0,0,1D,
56,0,80,0,0,0,0,0,0,
D0,7D,FF,0,0,E2,7,0,0,
44,C0,0,52,19,8,A4,A0,0,
42,40,2,0,0,0,0,0,0,
18,0,7F,70,0,0,0,0,F,
40,0,4C,40,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
41,85,26,3A,28,41,83,A7,0,
18,0,7F,70,2,0,0,0,11,
56,0,80,0,0,0,0,0,0,
52,F0,24,0,0,0,2,0,3,
D1,0,0,0,0,
44,C0,0,52,19,8,A4,A0,0,
40,0,4D,40,43,0,0,C,21,
18,0,7F,70,4,0,0,0,13,
40,0,4E,40,43,0,0,C,21,
41,85,26,3A,28,41,83,A7,0,
42,85,A6,0,0,0,0,0,0,
18,0,7F,70,6,0,0,0,15,
56,0,80,0,0,0,0,0,0,
70,1,0,0,0,0,B,0,0,
D0,7D,FF,0,0,E2,7,0,0,
61,0,29,0,D7,7,C0,78,28,
52,F0,34,0,0,0,2,0,3,
18,0,7F,70,8,0,0,0,17,
E2,A2,80,0,64,64,60,58,FE,
42,85,A6,0,0,0,0,0,0,
82,CA,C0,8A,9C,BC,0,20,0,
18,0,7F,70,A,0,0,0,19,
56,0,80,0,0,0,0,0,0,
52,F0,44,0,0,0,2,0,3,
D3,0,6,C0,F,70,0,C9,
72,0,D0,0,0,0,0,0,0,
40,0,41,3F,43,0,0,C,21,
18,0,7F,70,C,0,0,0,1B,
40,0,42,3F,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
D1,BC,11,0,0,0,0,0,0,
41,85,26,3A,28,40,83,A7,0,
18,0,7F,70,E,0,0,0,1D,
52,F0,54,0,0,0,2,0,3,
D4,0,0,0,0,0,0,0,0,
56,0,80,0,0,0,0,0,0,
40,0,43,42,43,0,0,C,21,
18,0,7F,70,0,0,0,0,F,
40,42,2,0,0,0,0,0,0,
61,0,29,0,D7,8,0,80,28,
70,0,0,0,0,0,C,0,0,
18,0,7F,70,2,0,0,0,11,
56,0,80,0,0,0,0,0,0,
52,F0,64,0,0,0,2,0,3,
D2,0,0,FF,FF,0,0,0,0,
44,C0,0,52,19,8,A4,A0,0,
40,0,45,42,43,0,0,C,21,
18,0,7F,70,4,0,0,0,13,
40,0,46,41,43,0,0,C,21,
82,CA,D0,8A,9C,BC,0,20,0,
41,85,26,3A,28,41,83,A7,0,
18,0,7F,70,6,0,0,0,15,
52,F0,74,0,0,0,2,0,3,
40,0,47,41,43,0,0,C,21,
44,C0,0,52,19,8,A4,A0,0,
56,0,80,0,0,0,0,0,0,
18,0,7F,70,8,0,0,0,17,
41,85,26,3A,28,41,83,A7,0,
40,0,48,41,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
41,85,26,3A,28,41,83,A7,0,
18,0,7F,70,A,0,0,0,19,
52,F0,84,0,0,0,2,0,3,
D2,0,0,FF,FF,0,0,0,0,
70,0,0,0,0,0,D,0,0,
56,0,80,0,0,0,0,0,0,
18,0,7F,70,C,0,0,0,1B,
40,0,4A,3F,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
41,85,26,3A,28,41,83,A7,0,
18,0,7F,70,E,0,0,0,1D,
56,0,80,0,0,0,0,0,0,
52,F0,94,0,0,0,2,0,3,
D2,0,0,FF,FF,0,0,0,0,
72,0,E0,0,0,0,0,0,0,
40,0,4B,3F,43,0,0,C,21,
18,0,7F,70,0,0,0,0,F,
3B,0,0,E,6,0,0,37,F9,
42,85,A6,0,0,0,0,0,0,
82,CA,E0,8A,9C,BC,0,20,0,
18,0,7F,70,2,0,0,0,11,
56,0,80,0,0,0,0,0,0,
52,F0,A4,0,0,0,2,0,3,
D2,0,0,FF,FF,0,0,0,0,
44,C0,0,52,19,8,A4,A0,0,
18,0,7F,70,4,0,0,0,13,
42,40,2,0,0,0,0,0,0,
40,0,4E,3F,43,0,0,C,21,
60,79,1,85,83,49,0,E1,0,
D1,B9,11,0,0,0,0,0,0,
18,0,7F,70,6,0,0,0,15,
40,0,4D,3F,43,0,0,C,21,
52,F0,B4,0,0,0,2,0,3,
D4,0,0,0,0,0,0,0,0,
56,0,80,0,0,0,0,0,0,
40,0,4F,3F,43,0,0,C,21,
18,0,7F,70,8,0,0,0,17,
40,0,40,3F,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
41,85,26,3A,28,40,83,A7,0,
18,0,7F,70,A,0,0,0,19,
56,0,80,0,0,0,0,0,0,
52,F0,C4,0,0,0,2,0,3,
D4,0,0,0,0,0,0,0,0,
44,C0,0,52,19,8,A4,A0,0,
18,0,7F,70,C,0,0,0,1B,
82,CA,F0,8A,9C,BC,0,20,0,
40,0,42,43,43,0,0,C,21,
42,86,A6,0,0,0,0,0,0,
40,0,41,43,43,0,0,C,21,
18,0,7F,70,E,0,0,0,1D,
56,0,80,0,0,0,0,0,0,
40,0,43,43,43,0,0,C,21,
44,C0,0,52,19,8,A4,A0,0,
70,1,0,0,0,0,F,0,0,
18,0,7F,70,0,0,0,0,F,
52,F0,D4,0,0,0,2,0,3,
40,0,44,43,43,0,0,C,21,
42,86,A6,0,0,0,0,0,0,
41,86,26,3A,28,41,83,A7,0,
18,0,7F,70,2,0,0,0,11,
52,F0,E4,0,0,0,2,0,3,
D0,7D,FF,1,0,E2,7,0,0,
72,0,F0,0,0,0,0,0,0,
56,0,80,0,0,0,0,0,0,
18,0,7F,70,4,0,0,0,13,
40,0,46,41,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
41,85,26,3A,28,41,83,A7,0,
18,0,7F,70,6,0,0,0,15,
56,0,80,0,0,0,0,0,0,
40,42,2,0,0,0,0,0,0,
D1,0,0,0,0,
44,C0,0,52,19,8,A4,A0,0,
52,F0,F4,0,0,0,2,0,3,
18,0,7F,70,8,0,0,0,17,
82,CA,0,8A,9C,BC,0,20,0,
40,0,48,41,43,0,0,C,21,
61,0,29,0,D7,C,80,83,28,
70,0,0,0,0,0,0,0,0,
18,0,7F,70,A,0,0,0,19,
56,0,80,0,0,0,0,0,0,
40,0,49,41,43,0,0,C,21,
44,C0,0,52,19,8,A4,A0,0,
40,0,47,41,43,0,0,C,21,
18,0,7F,70,C,0,0,0,1B,
40,0,4A,41,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
D1,B6,11,0,0,0,0,0,0,
41,85,26,39,28,41,83,A7,0,
18,0,7F,70,E,0,0,0,1D,
52,F0,14,0,0,0,2,0,3,
D2,0,0,FF,FF,0,0,0,0,
44,C0,0,52,19,8,A4,A0,0,
56,0,80,0,0,0,0,0,0,
18,0,7F,70,0,0,0,0,F,
40,0,4C,3F,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
40,0,4B,41,43,0,0,C,21,
18,0,7F,70,2,0,0,0,11,
56,0,80,0,0,0,0,0,0,
52,F0,24,0,0,0,2,0,3,
D2,0,0,FF,FF,0,0,0,0,
70,0,0,0,0,0,1,0,0,
40,0,4D,3F,43,0,0,C,21,
18,0,7F,70,4,0,0,0,13,
40,0,4E,3F,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
82,CA,10,8A,9C,BC,0,20,0,
18,0,7F,70,6,0,0,0,15,
56,0,80,0,0,0,0,0,0,
52,F0,34,0,0,0,2,0,3,
D3,0,6,C0,F,70,0,D8,
72,0,0,0,0,0,0,0,0,
40,0,4F,42,43,0,0,C,21,
18,0,7F,70,8,0,0,0,17,
40,0,40,42,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
41,85,26,3A,28,41,83,A7,0,
18,0,7F,70,A,0,0,0,19,
42,40,2,0,0,0,0,0,0,
52,F0,44,0,0,0,2,0,3,
D3,0,6,C0,F,70,0,D9,
44,C0,0,52,19,8,A4,A0,0,
18,0,7F,70,C,0,0,0,1B,
56,0,80,0,0,0,0,0,0,
40,0,42,42,43,0,0,C,21,
61,0,29,0,D7,E,30,81,28,
70,0,0,0,0,0,2,0,0,
18,0,7F,70,E,0,0,0,1D,
56,0,80,0,0,0,0,0,0,
52,F0,54,0,0,0,2,0,3,
D3,0,6,C0,F,70,0,DA,
44,C0,0,52,19,8,A4,A0,0,
18,0,7F,70,0,0,0,0,F,
41,85,26,3A,28,41,83,A7,0,
40,0,44,40,43,0,0,C,21,
82,CA,20,8A,9C,BC,0,20,0,
41,85,26,3A,28,41,83,A7,0,
18,0,7F,70,2,0,0,0,11,
52,F0,64,0,0,0,2,0,3,
41,85,26,3A,28,41,83,A7,0,
56,0,80,0,0,0,0,0,0,
40,0,45,40,43,0,0,C,21,
18,0,7F,70,4,0,0,0,13,
40,0,46,40,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
D1,BC,11,0,0,0,0,0,0,
41,85,26,3A,28,41,83,A7,0,
18,0,7F,70,6,0,0,0,15,
52,F0,74,0,0,0,2,0,3,
D3,0,6,C0,F,70,0,DC,
61,0,29,0,D7,F,50,7E,28,
70,0,0,0,0,0,3,0,0,
18,0,7F,70,8,0,0,0,17,
40,0,48,42,43,0,0,C,21,
42,85,A6,0,0,0,0,0,0,
40,0,47,42,43,0,0,C,21,
18,0,7F,70,A,0,0,0,19,
56,0,80,0,0,0,0,0,0,
52,F0,84,0,0,0,2,0,3,
D3,0,6,C0,F,70,0,DD,
72,0,10,0,0,0,0,0,0,
18,0,7F,70,C,0,0,0,1B,
40,0,49,42,43,0,0,C,21,
40,42,2,0,0,0,0,0,0,
82,CA,30,8A,9C,BC,0,20,0,
40,0,4A,41,43,0,0,C,21,
18,0,7F,70,E,0,0,0,1D,
52,F0,94,0,0,0,2,0,3,
40,0,4B,41,43,0,0,C,21,
D3,0,6,C0,F,70,0,DE,
56,0,80,0,0,0,0,0,0,
18,0,7F,70,0,0,0,0,F,
41,85,26,3C,28,41,83,A7,0,
40,0,4C,41,43,0,0,C,21,
61,0,29,0,D7,0,70,85,28,
70,0,0,0,0,0,4,0,0,
18,0,7F,70,2,0,0,0,11,
56,0,80,0,0,0,0,0,0,
52,F0,A4,0,0,0,2,0,3,
42,85,A6,0,0,0,0,0,0,
44,C0,0,52,19,8,A4,A0,0,
18,0,7F,70,4,0,0,0,13,
41,85,26,3C,28,41,83,A7,0,
40,0,4E,44,43,0,0,C,21,
42,86,A6,0,0,0,0,0,0,
41,86,26,3C,28,41,83,A7,0,
18,0,7F,70,6,0,0,0,15,
52,F0,B4,0,0,0,2,0,3,
D1,0,0,0,0,
44,C0,0,52,19,8,A4,A0,0,
56,0,80,0,0,0,0,0,0,
18,0,7F,70,8,0,0,0,17,
82,CA,40,8A,9C,BC,0,20,0,
40,0,40,44,43,0,0,C,21,
